category,dataset,resolution,frequency,coverage,period,source_organization,input_data_sources,algorithm_or_assimilation_scheme,adjusted_calibrated_with,reference,website,file_format,fig6_mean_annual_precip_global_land_mm_EST,fig10_DJF_precip_global_land_mm_EST,fig10_MAM_precip_global_land_mm_EST,fig10_JJA_precip_global_land_mm_EST,fig10_SON_precip_global_land_mm_EST,estimate_note
Satellite-related,CMAP,2.5°,Monthly,Global,1979-present,,"GPI, OPI, SSM/I scattering, SSM/I emission, MSU, NCEP-NCAR",,"GPCC, GHCN","Xie et al., 2003; Xie & Arkin, 1997",http://www.esrl.noaa.gov/psd/data/gridded/data.cmap.html,netCDF,620,150,100,160,190,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Satellite-related,CPC-Global (2006-present),0.5°,Daily,Global land,2006-present,,"GTS, COOP, NMAs",,"GTS, COOP, NMAs","Xie et al., 2010",http://ftp.cpc.ncep.noaa.gov/precip/CPC_UNI_PRCP/GAUGE_GLB/RT/,Binary,605,140,100,145,175,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Satellite-related,TRMM 3B43,0.25°,Monthly,50S-50N,1998-present,,"TMI, TRMM Combined Instrument, SSM/I, SSMIS, AMSR-E, AMSU-B, MHS, GEO IR",Probability Matching,GPCC,"Huffman et al., 2007",http://mirador.gsfc.nasa.gov,HDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,TRMM 3B42,0.25°,3-hourly/Daily,50S-50N,1998-present,,"TMI, TRMM Combined Instrument, SSM/I, SSMIS, AMSR-E, AMSU-B, MHS, GEO IR",Probability Matching,(none - unadjusted),"Huffman et al., 2007",http://mirador.gsfc.nasa.gov,netCDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,GSMaP,0.1°,1-hourly/daily,60S-60N,2002-2012,,"TMI, AMSR-E, SSM/I, multifunctional transport satellites (MTSAT), Meteosat-7/8, GOES 11/12",Kalman filter model,(none - unadjusted),"Ushio et al., 2009",http://sharaku.eorc.jaxa.jp/GSMaP/index.htm,dat,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,PERSIANN-CCS,0.04°,"30-min/3,6-hourly",60S-60N,2003-present,,"Meteosat, GOES, GMS, SSM/I, polar/near polar precipitation radar, TMI, AMSR",Artificial Neural Networks,(none - unadjusted),"Sorooshian et al., 2000",ftp://persiann.eng.uci.edu/pub/GCCS,Binary,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,PERSIANN-CDR,0.25°,"3,6-hourly/Daily",60S-60N,1983-present,,"GOES 8, GOES 10, GMS-5, Metsat-6, Metsat-7, TRMM, NOAA 15/16/17, DMSP F13/F14/F15",Artificial Neural Networks,GPCP,"Ashouri et al., 2015",ftp://persiann.eng.uci.edu/pub/PERSIANN-CDR,netCDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,CMORPH,0.25°/8km,30-min/3-hourly/Daily,60S-60N,2002-present,,"TMI, SSM/I, AMSR-E, AMSU-B, Meteosat, GOES, MTSAT",Propagation & Morphing,(none - unadjusted),"Joyce et al., 2004",http://rda.ucar.edu/datasets/ds502.0/,netCDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,GPM,0.1°,30-min/3-hourly/daily,60S-60N,2015-present,,"GMI, AMSR-2, SSMIS, Madaras, MHS, Advanced Technology Microwave Sounder",IMERG,,"Hou et al., 2008, 2014",https://pmm.nasa.gov/data-access/downloads/gpm,netCDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Satellite-related,MSWEP,0.1°/0.5°,3-hourly/daily,Global,1979-present,,"CPC, GPCC, CMORPH, GSMaP-MVK, TMPA, ERA-Interim, JRA-55",,"CPC, GPCC","Beck et al., 2017",http://www.gloh2o.org/,netCDF,740,160,115,210,210,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Reanalysis,NCEP1,2.5°x2.5°,Monthly/Daily/6-hourly,Global,1948-present,NCEP/NCAR,,3D-Var (Spectral statistical interpolation),,"Kalnay et al., 1996",http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis.surface.html,netCDF,810,185,120,190,250,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Reanalysis,NCEP2,1.875°x1.875°,Monthly/6-hourly,Global,1979-present,NCEP/DOE,,3D-Var,,"Kanamitsu et al., 2002",http://www.esrl.noaa.gov/psd/data/gridded/data.ncep.reanalysis2.html,netCDF,840,185,120,195,270,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Reanalysis,ERA 40,2.5°x2.5° / 1.125°x1.125°,Monthly/6-hourly,Global,1957-2002,ECMWF,,3D-Var,,"Uppala et al., 2005",http://apps.ecmwf.int/datasets/data/era40-daily/,netCDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Reanalysis,ERA Interim,1.5°x1.5° / 0.75°x0.75°,Monthly/6-hourly,Global,1979-present,ECMWF,,4D-Var,,"Dee et al., 2011",http://apps.ecmwf.int/datasets/data/interim-full-daily/,netCDF,770,175,105,180,215,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Reanalysis,20CRv2,2.0°x2.0°,Monthly/daily/6-hourly,Global,1871-2012,NOAA,,Ensemble Kalman Filter,,"Compo et al., 2011",http://www.esrl.noaa.gov/psd/data/gridded/data.20thC_ReanV2.html,netCDF,855,220,140,210,245,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Reanalysis,JRA-55,60km,Monthly/3-hourly/6-hourly,Global,1958-present,Japanese Meteorological Agency,,4D-Var,,"Ebita et al., 2011",http://rda.ucar.edu/datasets/ds628.0/,Grib,800,185,125,200,240,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Reanalysis,MERRA,0.5°x0.67°,Daily,Global,1979-present,NASA,,3D-Var,,"Rienecker et al., 2011",http://disc.sci.gsfc.nasa.gov/uui/datasets?keywords=%22MERRA-2%22,HDF,740,185,120,195,225,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
Reanalysis,MERRA Land,0.5°x0.67°,Monthly/Daily/1-hourly,Global land,1980-present,NASA,,3D-Var,,"Reichle et al., 2011",https://disc.sci.gsfc.nasa.gov/uui/datasets?keywords=%22MERRA-Land%22,HDF,,,,,,"Not shown in Fig 6a/10a (global land, 15-dataset subset) in the published figures - no estimate possible from this source."
Reanalysis,CFSR,38km,6-hourly,Global,1979-2010,NOAA,,3D-Var,,"Saha et al., 2010",http://rda.ucar.edu/pub/cfsr.html,grb2,870,225,140,230,240,"VISUAL ESTIMATE from published figure raster (not extracted from underlying data). Fig6 mean_annual is an eyeballed average of the plotted curve for global land over its full plotted period (approx dates per 'period' column); Fig10 seasonal values are eyeballed stacked-bar segment heights for global land, 2003-2010 only (note: different period than the Fig6 mean_annual estimate). TODO: replace with values pulled from the paper's supporting-information data files / digitized source figure data once available."
